ダウンロードした時刻：2017/12/13 15:26:25,,
,,
,練馬,練馬
年月日,平均風速(m/s),降水量の合計(mm)
,,
,,
2016/12/12,1.2,0
2016/12/13,1.1,2.5
2016/12/14,3.1,29.5
2016/12/15,2.6,0
2016/12/16,3,0
2016/12/17,0.8,0
2016/12/18,0.9,0
2016/12/19,0.9,0
2016/12/20,0.7,0
2016/12/21,0.6,0
2016/12/22,2,12
2016/12/23,2.7,10
2016/12/24,2.8,0
2016/12/25,0.8,0
2016/12/26,1,0
2016/12/27,2.1,10
2016/12/28,3.4,0
2016/12/29,1.5,0
2016/12/30,3.5,0
2016/12/31,0.9,0
2017/1/1,0.9,0
2017/1/2,0.8,0
2017/1/3,2.5,0
2017/1/4,2.4,0
2017/1/5,4.1,0
2017/1/6,1.9,0
2017/1/7,0.9,0
2017/1/8,2.3,18
2017/1/9,2.5,7
2017/1/10,1.6,0
2017/1/11,1.7,0
2017/1/12,0.9,0
2017/1/13,1.3,0
2017/1/14,2.2,0
2017/1/15,1.8,0
2017/1/16,2,0
2017/1/17,1.6,0
2017/1/18,1,0
2017/1/19,2.4,0
2017/1/20,2,0
2017/1/21,3.2,0
2017/1/22,1.4,0
2017/1/23,3.6,0
2017/1/24,2.6,0
2017/1/25,2.4,0
2017/1/26,0.7,0
2017/1/27,1.2,0
2017/1/28,1.4,0
2017/1/29,1.4,0
2017/1/30,2.6,0
2017/1/31,3.7,0
2017/2/1,2.1,0
2017/2/2,3.5,0
2017/2/3,3.4,0
2017/2/4,2.1,0
2017/2/5,1.1,0
2017/2/6,2.6,0
2017/2/7,4,0
2017/2/8,2.9,0
2017/2/9,1.9,6.5
2017/2/10,2.7,0
2017/2/11,1.4,0
2017/2/12,2.3,0
2017/2/13,2.4,0
2017/2/14,2.8,0
2017/2/15,1.9,0
2017/2/16,0.9,0
2017/2/17,3.3,0
2017/2/18,3,0
2017/2/19,2.9,0
2017/2/20,2,6.5
2017/2/21,4,0
2017/2/22,1.7,0
2017/2/23,3.2,0
2017/2/24,4.6,0
2017/2/25,1.2,0
2017/2/26,1.4,0
2017/2/27,2.5,0
2017/2/28,1.8,0
2017/3/1,0.8,5
2017/3/2,1.6,6
2017/3/3,3.1,0
2017/3/4,1.4,0
2017/3/5,1.2,0
2017/3/6,0.9,0
2017/3/7,2.8,0.5
2017/3/8,1.1,0
2017/3/9,1,0
2017/3/10,2.4,0
2017/3/11,3,0
2017/3/12,1.3,0
2017/3/13,1.8,0
2017/3/14,2.9,3
2017/3/15,2.7,1
2017/3/16,1.6,0
2017/3/17,2.9,0
2017/3/18,1.4,0
2017/3/19,2.4,0
2017/3/20,2.3,0
2017/3/21,1.8,20.5
2017/3/22,4.1,0
2017/3/23,1.5,0
2017/3/24,4.1,0
2017/3/25,2.2,0
2017/3/26,2.2,12
2017/3/27,3.1,24
2017/3/28,1.7,0
2017/3/29,1.4,0
2017/3/30,1.3,0
2017/3/31,2.7,6
2017/4/1,2,5
2017/4/2,1.2,0
2017/4/3,1.7,2.5
2017/4/4,1.4,0
2017/4/5,1.5,0
2017/4/6,2.7,0
2017/4/7,2.6,0
2017/4/8,1.2,3
2017/4/9,1.7,5.5
2017/4/10,1.4,0
2017/4/11,2.3,38.5
2017/4/12,3.6,0.5
2017/4/13,1.9,0.5
2017/4/14,1.5,0
2017/4/15,2.4,0
2017/4/16,1.1,0
2017/4/17,1.3,13.5
2017/4/18,2.2,16
2017/4/19,3,0
2017/4/20,2,0
2017/4/21,0.9,0
2017/4/22,1.3,14.5
2017/4/23,1.8,0
2017/4/24,1,0
2017/4/25,1.8,0
2017/4/26,2,0
2017/4/27,2.1,0
2017/4/28,1.5,0
2017/4/29,1.4,0
